Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Price
Air India,18/03/2023,Kolkata,New Delhi,02:43,8h 25m,non-stop,6928
SpiceJet,06/01/2023,Mumbai,Delhi,19:05,14h 42m,2 stops,9914
Multiple carriers,02/04/2023,Kolkata,Hyderabad,10:15,9h 25m,1 stop,7125
Multiple carriers,29/04/2023,Chennai,Cochin,02:00,15h 39m,non-stop,5900
SpiceJet,17/01/2023,Mumbai,Cochin,11:56,3h 56m,1 stop,4506
Multiple carriers,01/04/2023,Kolkata,Delhi,09:39,21h 33m,non-stop,8617
Multiple carriers,15/01/2023,Bangalore,Cochin,03:47,18h 9m,2 stops,10077
SpiceJet,29/03/2023,Delhi,Bangalore,20:54,9h 32m,3 stops,8764
IndiGo,24/02/2023,Bangalore,Hyderabad,08:02,1h 21m,non-stop,3054
Multiple carriers,26/02/2023,Kolkata,Hyderabad,17:45,14h 35m,non-stop,5729
Air India,05/01/2023,Kolkata,Delhi,11:37,18h 9m,3 stops,12261
IndiGo,26/04/2023,Delhi,Cochin,01:57,12h 13m,1 stop,7365
Air India,21/03/2023,Delhi,Kolkata,23:09,8h 55m,1 stop,8499
Jet Airways,23/01/2023,Chennai,New Delhi,23:59,11h 50m,3 stops,12892
SpiceJet,11/04/2023,Delhi,Bangalore,22:06,13h 55m,non-stop,6508
Air Asia,15/04/2023,Kolkata,Bangalore,14:22,10h 52m,1 stop,6456
IndiGo,05/02/2023,Kolkata,Cochin,02:49,9h 22m,3 stops,9641
GoAir,23/04/2023,Bangalore,New Delhi,08:11,19h 16m,non-stop,6972
Vistara,11/04/2023,Delhi,Hyderabad,10:27,20h 32m,non-stop,7788
SpiceJet,25/02/2023,Delhi,Hyderabad,00:33,18h 43m,1 stop,8245
Vistara,28/04/2023,Bangalore,Hyderabad,10:39,11h 42m,non-stop,6224
Multiple carriers,27/03/2023,Mumbai,Cochin,13:20,13h 44m,2 stops,9385
Jet Airways,01/05/2023,Kolkata,Hyderabad,12:43,24h 57m,1 stop,12760
Multiple carriers,17/04/2023,Chennai,Delhi,00:19,10h 13m,3 stops,10609
GoAir,26/02/2023,Chennai,Kolkata,21:13,17h 30m,1 stop,9099
Air India,23/03/2023,Delhi,Hyderabad,19:21,3h 52m,1 stop,6627
Multiple carriers,19/01/2023,Kolkata,Bangalore,00:02,8h 30m,non-stop,4932
Vistara,02/04/2023,Mumbai,Bangalore,22:24,16h 25m,1 stop,7802
IndiGo,29/01/2023,Bangalore,Kolkata,05:51,23h 33m,3 stops,11852
SpiceJet,18/01/2023,Bangalore,Kolkata,14:42,17h 35m,2 stops,10695
Air Asia,25/04/2023,Mumbai,Hyderabad,16:27,18h 28m,1 stop,9523
Air Asia,07/04/2023,Chennai,Cochin,07:53,21h 17m,3 stops,13033
SpiceJet,10/01/2023,Delhi,Kolkata,22:18,8h 17m,2 stops,7154
Air India,30/01/2023,Kolkata,Bangalore,12:44,5h 45m,1 stop,5881
Vistara,11/03/2023,Chennai,Cochin,14:26,2h 13m,3 stops,7797
IndiGo,03/03/2023,Mumbai,Kolkata,00:22,10h 48m,3 stops,10247
Vistara,05/04/2023,Mumbai,Hyderabad,17:51,20h 57m,1 stop,9499
SpiceJet,04/03/2023,Delhi,Kolkata,00:24,11h 42m,3 stops,10233
Jet Airways,21/03/2023,Chennai,Bangalore,17:01,13h 37m,non-stop,7421
Vistara,07/01/2023,Kolkata,Bangalore,08:24,11h 13m,3 stops,9919
GoAir,07/04/2023,Chennai,Cochin,13:16,3h 30m,non-stop,4284
IndiGo,25/03/2023,Delhi,Bangalore,02:49,21h 2m,non-stop,8694
SpiceJet,21/03/2023,Kolkata,New Delhi,04:15,5h 30m,non-stop,3905
SpiceJet,02/02/2023,Chennai,Hyderabad,11:10,20h 38m,non-stop,8092
Jet Airways,15/03/2023,Delhi,Cochin,21:58,13h 25m,1 stop,8905
SpiceJet,09/04/2023,Bangalore,Hyderabad,09:54,22h 38m,non-stop,8630
IndiGo,26/03/2023,Delhi,Kolkata,11:04,17h 41m,2 stops,8775
Vistara,25/02/2023,Chennai,New Delhi,11:40,15h 45m,1 stop,8141
Jet Airways,04/02/2023,Mumbai,Hyderabad,19:51,18h 49m,3 stops,13952
Vistara,11/02/2023,Mumbai,Cochin,07:53,3h 17m,3 stops,7749
Air Asia,27/03/2023,Mumbai,Delhi,12:21,1h 31m,non-stop,2622
Air Asia,13/04/2023,Kolkata,Cochin,08:21,9h 56m,2 stops,8388
IndiGo,11/01/2023,Mumbai,Bangalore,07:46,14h 31m,1 stop,7914
Air Asia,12/04/2023,Chennai,Kolkata,00:05,10h 14m,3 stops,10416
SpiceJet,16/03/2023,Delhi,Hyderabad,11:30,18h 33m,2 stops,9871
GoAir,28/02/2023,Delhi,Hyderabad,08:19,9h 14m,non-stop,5727
SpiceJet,10/03/2023,Delhi,Hyderabad,22:11,7h 13m,3 stops,8316
Multiple carriers,30/01/2023,Bangalore,Cochin,11:11,10h 0m,1 stop,6561
IndiGo,07/02/2023,Bangalore,Delhi,22:08,21h 55m,3 stops,11460
IndiGo,02/03/2023,Mumbai,Cochin,15:28,11h 11m,non-stop,4767
Air Asia,21/02/2023,Bangalore,New Delhi,15:04,19h 40m,non-stop,7060
Jet Airways,11/01/2023,Mumbai,Cochin,07:07,18h 48m,3 stops,14241
SpiceJet,27/02/2023,Mumbai,Kolkata,14:19,19h 27m,2 stops,10414
IndiGo,13/01/2023,Mumbai,Hyderabad,06:40,7h 16m,non-stop,3571
SpiceJet,10/01/2023,Kolkata,Delhi,05:00,14h 28m,3 stops,10096
IndiGo,01/04/2023,Kolkata,Cochin,09:44,15h 4m,1 stop,8642
Multiple carriers,13/04/2023,Mumbai,Hyderabad,06:27,4h 34m,1 stop,5826
Jet Airways,10/01/2023,Delhi,Bangalore,01:10,10h 38m,2 stops,10399
Air India,08/02/2023,Chennai,Hyderabad,22:25,9h 32m,3 stops,10646
Air India,24/04/2023,Mumbai,New Delhi,13:47,11h 38m,2 stops,8802
Air India,18/04/2023,Kolkata,Hyderabad,18:37,1h 48m,non-stop,4430
IndiGo,25/03/2023,Kolkata,Delhi,14:58,9h 11m,3 stops,9550
Air Asia,14/02/2023,Bangalore,Kolkata,13:21,11h 42m,non-stop,6506
Jet Airways,30/03/2023,Delhi,Kolkata,15:18,22h 25m,non-stop,10431
Air India,11/02/2023,Delhi,Cochin,03:49,13h 55m,non-stop,7596
Air Asia,25/01/2023,Chennai,New Delhi,16:23,20h 48m,3 stops,12780
Air Asia,12/03/2023,Bangalore,Cochin,04:59,10h 28m,3 stops,9248
IndiGo,01/04/2023,Mumbai,Bangalore,05:19,18h 0m,3 stops,10690
SpiceJet,16/01/2023,Bangalore,Kolkata,20:53,5h 31m,2 stops,6792
Multiple carriers,02/03/2023,Chennai,Kolkata,07:29,18h 9m,3 stops,11390
Jet Airways,09/04/2023,Bangalore,Cochin,13:21,17h 17m,non-stop,8829
Multiple carriers,26/03/2023,Mumbai,Delhi,15:55,5h 28m,3 stops,8456
GoAir,18/02/2023,Mumbai,Delhi,14:59,11h 55m,1 stop,7678
SpiceJet,30/01/2023,Mumbai,Kolkata,13:02,11h 47m,3 stops,10194
Vistara,12/04/2023,Chennai,Hyderabad,20:09,16h 2m,1 stop,8528
GoAir,13/01/2023,Bangalore,Kolkata,16:58,15h 0m,1 stop,8089
Jet Airways,11/04/2023,Bangalore,Kolkata,08:21,20h 44m,3 stops,14830
Air India,20/04/2023,Delhi,Hyderabad,17:24,11h 40m,3 stops,12036
IndiGo,31/01/2023,Mumbai,New Delhi,20:43,10h 14m,non-stop,4888
Air India,22/01/2023,Bangalore,Kolkata,22:19,1h 2m,non-stop,4880
IndiGo,17/02/2023,Delhi,Cochin,13:09,8h 33m,3 stops,9159
Jet Airways,11/01/2023,Kolkata,Bangalore,19:55,13h 39m,1 stop,9769
Jet Airways,02/02/2023,Kolkata,Hyderabad,14:16,22h 0m,3 stops,15845
Multiple carriers,10/01/2023,Mumbai,Bangalore,14:22,19h 19m,3 stops,12663
Multiple carriers,26/01/2023,Chennai,Cochin,12:54,16h 6m,1 stop,8281
GoAir,31/03/2023,Mumbai,Cochin,09:01,22h 25m,2 stops,10516
IndiGo,05/03/2023,Mumbai,Hyderabad,09:49,8h 38m,2 stops,6948
SpiceJet,28/03/2023,Mumbai,Cochin,23:49,22h 43m,1 stop,9786
Air India,11/04/2023,Bangalore,Cochin,14:02,19h 23m,1 stop,9434
Multiple carriers,23/02/2023,Delhi,Hyderabad,05:12,5h 50m,2 stops,7337
Multiple carriers,27/04/2023,Kolkata,Cochin,15:51,10h 47m,2 stops,9147
Air India,19/01/2023,Chennai,New Delhi,07:55,22h 46m,3 stops,14980
GoAir,02/01/2023,Bangalore,Kolkata,08:34,4h 29m,2 stops,7377
Multiple carriers,16/04/2023,Mumbai,Kolkata,20:23,4h 43m,1 stop,5465
IndiGo,11/02/2023,Mumbai,Delhi,19:14,21h 4m,3 stops,13112
Multiple carriers,18/01/2023,Chennai,New Delhi,01:02,10h 31m,non-stop,4699
SpiceJet,19/02/2023,Mumbai,Bangalore,14:23,22h 47m,3 stops,12702
Jet Airways,13/01/2023,Chennai,Hyderabad,15:39,14h 17m,non-stop,8913
GoAir,20/04/2023,Kolkata,Bangalore,11:06,22h 23m,2 stops,10624
Vistara,16/01/2023,Delhi,Bangalore,14:05,22h 13m,non-stop,7603
GoAir,11/04/2023,Kolkata,Bangalore,18:13,3h 53m,1 stop,5450
SpiceJet,10/04/2023,Kolkata,Cochin,04:50,20h 0m,2 stops,11258
Jet Airways,02/02/2023,Kolkata,Delhi,05:07,22h 55m,non-stop,9769
IndiGo,17/03/2023,Delhi,Bangalore,10:01,6h 16m,non-stop,3259
Vistara,06/04/2023,Mumbai,New Delhi,02:30,15h 49m,2 stops,9801
Air India,29/01/2023,Chennai,Delhi,19:02,24h 50m,2 stops,12938
IndiGo,19/04/2023,Bangalore,Kolkata,12:27,22h 6m,3 stops,12958
Air Asia,11/02/2023,Bangalore,New Delhi,19:09,3h 8m,2 stops,7028
GoAir,09/03/2023,Chennai,Delhi,09:29,17h 38m,3 stops,10953
Air India,21/04/2023,Mumbai,Hyderabad,06:27,15h 56m,1 stop,9097
GoAir,23/02/2023,Chennai,Kolkata,23:06,11h 27m,2 stops,9112
Multiple carriers,29/03/2023,Delhi,Bangalore,15:04,3h 53m,non-stop,2940
Vistara,05/04/2023,Bangalore,Hyderabad,11:51,5h 35m,non-stop,4451
GoAir,15/02/2023,Bangalore,Kolkata,21:48,14h 55m,non-stop,7483
Multiple carriers,15/02/2023,Mumbai,Cochin,03:36,17h 13m,1 stop,9094
Air Asia,14/02/2023,Kolkata,New Delhi,17:23,4h 48m,2 stops,7175
SpiceJet,09/04/2023,Chennai,Delhi,19:39,22h 41m,non-stop,8247
Multiple carriers,31/03/2023,Bangalore,Cochin,09:58,11h 22m,non-stop,5121
Jet Airways,21/02/2023,Mumbai,Hyderabad,02:09,24h 40m,non-stop,10187
SpiceJet,28/02/2023,Chennai,Kolkata,10:10,12h 19m,2 stops,9090
Air India,07/01/2023,Bangalore,Delhi,21:05,9h 28m,3 stops,10744
Air Asia,28/01/2023,Chennai,Cochin,16:07,12h 27m,non-stop,5580
Air Asia,09/02/2023,Mumbai,Hyderabad,01:14,13h 38m,non-stop,5265
SpiceJet,09/04/2023,Delhi,Bangalore,04:48,9h 18m,2 stops,6995
IndiGo,25/02/2023,Chennai,Hyderabad,05:08,13h 34m,1 stop,7274
GoAir,21/04/2023,Bangalore,Kolkata,23:02,14h 1m,3 stops,11886
Air India,15/03/2023,Delhi,Kolkata,12:45,21h 26m,2 stops,11485
Vistara,22/01/2023,Bangalore,Cochin,19:29,23h 58m,2 stops,10930
Vistara,17/03/2023,Bangalore,Kolkata,12:33,3h 25m,2 stops,7277
GoAir,10/04/2023,Kolkata,Cochin,05:04,17h 40m,non-stop,7336
SpiceJet,04/04/2023,Delhi,Cochin,20:52,5h 15m,non-stop,3049
Multiple carriers,19/03/2023,Kolkata,Bangalore,04:48,25h 41m,non-stop,8612
Air Asia,08/04/2023,Chennai,Delhi,18:28,22h 59m,2 stops,12269
GoAir,02/03/2023,Kolkata,New Delhi,14:40,10h 50m,2 stops,8711
IndiGo,01/03/2023,Delhi,Cochin,14:02,2h 23m,2 stops,5157
Air India,06/03/2023,Mumbai,Delhi,12:29,19h 35m,non-stop,8671
SpiceJet,06/03/2023,Delhi,Kolkata,04:03,15h 6m,2 stops,9712
Air India,23/01/2023,Mumbai,Hyderabad,01:15,23h 28m,3 stops,14323
Jet Airways,28/04/2023,Delhi,Cochin,09:24,14h 49m,2 stops,11890
IndiGo,13/01/2023,Delhi,Cochin,17:43,13h 18m,2 stops,9232
Jet Airways,19/01/2023,Delhi,Hyderabad,11:19,21h 44m,3 stops,14014
Air India,24/03/2023,Delhi,Kolkata,10:52,5h 42m,non-stop,5573
Vistara,03/01/2023,Mumbai,Cochin,11:19,6h 13m,2 stops,8440
Air Asia,18/01/2023,Kolkata,Bangalore,04:04,10h 54m,non-stop,5539
IndiGo,18/03/2023,Delhi,Bangalore,12:09,6h 11m,1 stop,5976
Air Asia,16/02/2023,Bangalore,Kolkata,21:46,8h 28m,2 stops,8540
Air Asia,31/01/2023,Kolkata,Delhi,09:51,16h 57m,1 stop,8253
Air Asia,10/04/2023,Chennai,Cochin,12:32,17h 26m,1 stop,9422
SpiceJet,22/04/2023,Mumbai,Bangalore,08:03,21h 30m,2 stops,10885
Air India,06/02/2023,Mumbai,New Delhi,02:48,6h 17m,3 stops,10854
Jet Airways,27/04/2023,Chennai,New Delhi,07:52,15h 56m,2 stops,12655
IndiGo,20/02/2023,Chennai,New Delhi,16:23,8h 24m,non-stop,4267
SpiceJet,30/04/2023,Bangalore,Cochin,03:53,23h 41m,2 stops,11870
Jet Airways,06/02/2023,Kolkata,New Delhi,15:44,5h 48m,3 stops,10668
IndiGo,02/02/2023,Bangalore,New Delhi,06:53,5h 35m,3 stops,7477
Multiple carriers,16/01/2023,Kolkata,Cochin,01:15,14h 40m,3 stops,10128
Air India,10/03/2023,Chennai,Delhi,00:40,17h 36m,1 stop,10221
Jet Airways,01/01/2023,Delhi,Kolkata,19:22,8h 36m,3 stops,10883
Air India,09/01/2023,Mumbai,Cochin,16:34,17h 50m,non-stop,8049
Air Asia,19/02/2023,Bangalore,Hyderabad,11:16,24h 1m,2 stops,12614
Air India,04/04/2023,Delhi,Bangalore,21:40,4h 49m,2 stops,7273
IndiGo,15/04/2023,Delhi,Cochin,20:11,25h 43m,3 stops,13674
Air Asia,09/01/2023,Kolkata,Bangalore,22:49,15h 2m,2 stops,9162
IndiGo,10/02/2023,Kolkata,New Delhi,09:32,13h 52m,3 stops,9768
IndiGo,15/02/2023,Kolkata,Cochin,01:55,21h 21m,2 stops,10004
GoAir,06/04/2023,Chennai,Kolkata,14:57,13h 21m,1 stop,7766
Air Asia,13/04/2023,Delhi,Cochin,02:46,14h 5m,3 stops,11233
Jet Airways,11/02/2023,Mumbai,Cochin,03:05,11h 42m,2 stops,10377
Air Asia,24/02/2023,Mumbai,Hyderabad,05:44,15h 22m,3 stops,10336
GoAir,05/02/2023,Mumbai,Kolkata,20:50,2h 4m,3 stops,7744
Jet Airways,28/03/2023,Bangalore,Delhi,14:02,5h 4m,1 stop,8344
GoAir,14/03/2023,Delhi,Kolkata,01:38,5h 43m,3 stops,9693
GoAir,08/04/2023,Delhi,Kolkata,02:36,5h 33m,2 stops,7065
GoAir,15/01/2023,Delhi,Bangalore,00:47,6h 31m,3 stops,9870
Air India,01/04/2023,Delhi,Cochin,14:13,20h 18m,3 stops,12909
Air India,27/02/2023,Kolkata,New Delhi,05:57,23h 28m,non-stop,10409
GoAir,09/01/2023,Delhi,Hyderabad,17:34,10h 57m,2 stops,9243
Jet Airways,07/03/2023,Kolkata,Cochin,07:07,7h 50m,1 stop,7734
Air Asia,12/03/2023,Bangalore,Cochin,18:23,15h 51m,1 stop,8503
Air India,20/02/2023,Bangalore,Cochin,22:46,16h 33m,3 stops,13075
Vistara,17/01/2023,Mumbai,New Delhi,10:41,3h 28m,3 stops,8642
GoAir,23/03/2023,Kolkata,Delhi,18:11,25h 8m,3 stops,13779
IndiGo,20/01/2023,Bangalore,Delhi,09:10,6h 20m,1 stop,5208
Multiple carriers,26/01/2023,Bangalore,Cochin,20:35,9h 8m,2 stops,8508
Air India,22/01/2023,Mumbai,Hyderabad,18:37,5h 10m,2 stops,8975
IndiGo,06/01/2023,Bangalore,New Delhi,20:49,19h 16m,1 stop,9320
Vistara,04/01/2023,Mumbai,Hyderabad,15:56,21h 34m,2 stops,11564
Multiple carriers,14/04/2023,Chennai,Bangalore,21:25,10h 29m,non-stop,5910
IndiGo,13/02/2023,Kolkata,Bangalore,19:09,11h 55m,2 stops,8753
GoAir,08/04/2023,Chennai,Bangalore,11:32,18h 6m,2 stops,9995
Air Asia,27/02/2023,Bangalore,Cochin,07:09,4h 3m,2 stops,7936
Vistara,01/02/2023,Mumbai,Kolkata,05:52,11h 59m,2 stops,8138
Jet Airways,01/03/2023,Chennai,Delhi,15:56,10h 31m,non-stop,6684
Vistara,31/01/2023,Mumbai,Kolkata,06:37,12h 3m,non-stop,5576
Air Asia,28/03/2023,Mumbai,Hyderabad,15:18,18h 0m,non-stop,7382
Jet Airways,16/02/2023,Delhi,Hyderabad,12:23,2h 25m,non-stop,5667
SpiceJet,10/01/2023,Delhi,Cochin,12:32,15h 48m,2 stops,9940
Air India,20/02/2023,Kolkata,New Delhi,11:50,11h 35m,2 stops,10296
Jet Airways,07/03/2023,Kolkata,Delhi,12:32,2h 2m,non-stop,4780
GoAir,28/02/2023,Chennai,Delhi,04:38,17h 8m,2 stops,11157
GoAir,05/04/2023,Kolkata,Delhi,09:37,11h 32m,3 stops,10701
Multiple carriers,17/02/2023,Chennai,New Delhi,10:43,4h 26m,2 stops,7631
IndiGo,03/02/2023,Mumbai,Kolkata,20:50,25h 37m,1 stop,10727
IndiGo,22/01/2023,Mumbai,Kolkata,16:40,24h 39m,3 stops,12302
SpiceJet,31/03/2023,Bangalore,Delhi,03:12,1h 28m,non-stop,2607
Jet Airways,27/01/2023,Chennai,Hyderabad,13:32,25h 39m,3 stops,16537
IndiGo,27/01/2023,Kolkata,Delhi,17:20,22h 30m,3 stops,12142
Jet Airways,13/02/2023,Chennai,Delhi,17:22,22h 49m,2 stops,13749
Air Asia,05/02/2023,Kolkata,Bangalore,17:19,8h 19m,2 stops,8443
SpiceJet,03/03/2023,Chennai,Cochin,11:35,24h 17m,2 stops,10749
Vistara,09/04/2023,Chennai,Cochin,04:18,2h 18m,non-stop,3209
Air Asia,03/03/2023,Delhi,Hyderabad,06:12,18h 17m,2 stops,9781
Air India,17/03/2023,Mumbai,Hyderabad,07:15,2h 42m,1 stop,6306
SpiceJet,22/02/2023,Bangalore,New Delhi,10:45,16h 6m,1 stop,7010
Jet Airways,30/04/2023,Chennai,Hyderabad,15:30,21h 12m,2 stops,12907
Multiple carriers,25/03/2023,Bangalore,New Delhi,18:14,18h 47m,non-stop,8370
Jet Airways,30/04/2023,Chennai,Bangalore,01:53,13h 50m,3 stops,12131
Multiple carriers,08/02/2023,Bangalore,New Delhi,18:38,4h 59m,2 stops,6582
Air Asia,05/03/2023,Mumbai,Delhi,04:54,17h 29m,2 stops,9644
Air India,04/04/2023,Delhi,Bangalore,14:41,9h 45m,1 stop,6778
GoAir,07/04/2023,Delhi,Hyderabad,06:11,20h 54m,3 stops,13193
Vistara,12/01/2023,Mumbai,Cochin,12:42,4h 11m,1 stop,5477
GoAir,03/02/2023,Kolkata,New Delhi,12:15,15h 48m,2 stops,10703
GoAir,15/03/2023,Delhi,Hyderabad,00:16,21h 23m,1 stop,8877
Air India,21/01/2023,Chennai,Cochin,12:43,17h 59m,2 stops,11663
Air India,20/03/2023,Delhi,Cochin,07:14,5h 30m,1 stop,6681
GoAir,12/03/2023,Chennai,Hyderabad,15:48,18h 51m,1 stop,9560
SpiceJet,09/03/2023,Mumbai,New Delhi,14:33,23h 23m,non-stop,9128
Air India,26/04/2023,Bangalore,Delhi,16:12,19h 34m,1 stop,9586
GoAir,15/01/2023,Mumbai,Kolkata,21:13,23h 37m,3 stops,12436
Air Asia,17/01/2023,Bangalore,Kolkata,16:26,15h 36m,non-stop,6894
Air Asia,03/01/2023,Delhi,Hyderabad,12:16,1h 47m,non-stop,3434
Air India,14/02/2023,Bangalore,Kolkata,22:04,18h 3m,non-stop,9412
Air Asia,22/02/2023,Bangalore,Cochin,05:49,5h 49m,3 stops,8516
Vistara,18/02/2023,Chennai,Kolkata,02:43,22h 55m,1 stop,10338
GoAir,20/02/2023,Bangalore,Delhi,16:08,24h 14m,non-stop,9548
IndiGo,28/03/2023,Delhi,Kolkata,23:34,14h 34m,3 stops,11186
SpiceJet,20/01/2023,Kolkata,Cochin,08:12,24h 48m,non-stop,7565
Vistara,31/01/2023,Mumbai,New Delhi,06:04,4h 38m,non-stop,3914
IndiGo,06/01/2023,Kolkata,Hyderabad,12:28,8h 34m,1 stop,6544
IndiGo,07/02/2023,Kolkata,Delhi,07:52,24h 36m,2 stops,11682
GoAir,23/04/2023,Kolkata,Cochin,04:42,17h 14m,3 stops,11365
Multiple carriers,17/03/2023,Bangalore,Delhi,23:58,6h 40m,3 stops,9138
Air Asia,01/05/2023,Bangalore,Cochin,20:42,13h 50m,2 stops,9676
Vistara,08/02/2023,Chennai,Bangalore,12:11,25h 34m,3 stops,13243
SpiceJet,19/01/2023,Delhi,Hyderabad,14:58,2h 35m,3 stops,8482
Vistara,18/01/2023,Mumbai,Delhi,12:15,9h 13m,2 stops,8574
Air India,12/01/2023,Chennai,Cochin,17:46,7h 3m,2 stops,8522
IndiGo,03/04/2023,Bangalore,Delhi,21:35,7h 30m,1 stop,6530
GoAir,30/04/2023,Delhi,Bangalore,06:47,4h 47m,3 stops,9372
SpiceJet,27/01/2023,Mumbai,Hyderabad,12:58,8h 35m,2 stops,8088
Multiple carriers,10/03/2023,Chennai,Kolkata,20:22,10h 16m,2 stops,8550
Air Asia,13/04/2023,Chennai,New Delhi,23:30,25h 53m,2 stops,13122
SpiceJet,22/02/2023,Delhi,Cochin,01:36,8h 47m,1 stop,5033
Multiple carriers,16/03/2023,Mumbai,Delhi,23:26,10h 9m,1 stop,6675
SpiceJet,17/04/2023,Chennai,Delhi,07:31,18h 41m,2 stops,9527
Air Asia,22/01/2023,Chennai,Kolkata,23:50,12h 10m,1 stop,7975
Air Asia,24/03/2023,Kolkata,Delhi,01:33,2h 53m,non-stop,4435
IndiGo,18/01/2023,Bangalore,Kolkata,20:14,3h 45m,1 stop,3768
SpiceJet,17/02/2023,Mumbai,Kolkata,01:39,21h 42m,3 stops,12600
Air Asia,10/03/2023,Bangalore,New Delhi,17:26,1h 1m,non-stop,3347
Multiple carriers,15/04/2023,Bangalore,Delhi,22:43,14h 51m,1 stop,7219
Air India,31/01/2023,Mumbai,Bangalore,06:39,17h 16m,2 stops,10797
Vistara,21/02/2023,Bangalore,Cochin,14:36,8h 44m,1 stop,6114
Air India,21/02/2023,Bangalore,New Delhi,12:24,18h 30m,non-stop,8804
IndiGo,05/03/2023,Kolkata,New Delhi,13:41,11h 36m,non-stop,6082
IndiGo,26/04/2023,Kolkata,Bangalore,22:56,19h 30m,2 stops,9345
Air India,05/01/2023,Delhi,Hyderabad,05:59,11h 1m,1 stop,8452
Jet Airways,08/02/2023,Chennai,New Delhi,05:36,8h 36m,3 stops,11886
GoAir,18/01/2023,Chennai,Hyderabad,22:46,3h 32m,2 stops,5859
Air India,18/04/2023,Chennai,Bangalore,02:21,20h 49m,3 stops,14484
GoAir,04/02/2023,Bangalore,Hyderabad,14:31,8h 22m,3 stops,9384
Jet Airways,18/02/2023,Mumbai,Hyderabad,02:49,20h 18m,1 stop,11960
Air India,20/01/2023,Bangalore,Cochin,12:45,21h 9m,3 stops,13398
GoAir,01/01/2023,Bangalore,New Delhi,09:28,12h 48m,2 stops,8209
Jet Airways,27/02/2023,Bangalore,Kolkata,17:35,17h 26m,non-stop,8303
Air India,21/04/2023,Delhi,Cochin,12:00,10h 26m,3 stops,11595
Air India,15/03/2023,Mumbai,Bangalore,16:10,22h 24m,1 stop,10284
Multiple carriers,05/03/2023,Delhi,Cochin,04:04,6h 27m,2 stops,7362
Multiple carriers,16/02/2023,Chennai,New Delhi,08:15,24h 40m,3 stops,13716
SpiceJet,18/01/2023,Chennai,New Delhi,09:00,13h 21m,3 stops,10896
GoAir,25/02/2023,Chennai,Cochin,20:38,5h 19m,2 stops,7485
SpiceJet,23/01/2023,Chennai,Cochin,12:20,10h 47m,3 stops,10481
SpiceJet,05/02/2023,Delhi,Kolkata,12:23,4h 59m,1 stop,5212
Jet Airways,04/04/2023,Mumbai,New Delhi,14:45,7h 28m,2 stops,10452
